탑승일자,버스정류장ARS번호,총승객수,승차총승객수,하차총승객수
2015-05-23,02006,6936.0,4424.0,2512.0
2015-05-23,02282,617.0,181.0,436.0
2015-05-24,02003,1644.0,531.0,1113.0
2015-05-24,02006,5593.0,3575.0,2018.0
2015-05-24,02282,754.0,226.0,528.0
2015-05-25,02003,1801.0,618.0,1183.0
2015-05-25,02006,6431.0,4427.0,2004.0
2015-05-25,02282,610.0,181.0,429.0
2015-05-26,02003,2444.0,600.0,1844.0
2015-05-26,02006,7864.0,4958.0,2906.0
2015-05-26,02282,125.0,24.0,101.0
2015-05-27,02003,2353.0,617.0,1736.0
2015-05-27,02006,7740.0,4879.0,2861.0
2015-05-27,02282,156.0,44.0,112.0
2015-05-28,02003,2372.0,618.0,1754.0
2015-05-28,02006,7850.0,4923.0,2927.0
2015-05-28,02282,153.0,33.0,120.0
2015-05-29,02003,2526.0,673.0,1853.0
2015-05-29,02006,8682.0,5422.0,3260.0
2015-05-29,02282,126.0,26.0,100.0
2015-05-30,02003,1832.0,562.0,1270.0
2015-05-30,02006,6586.0,4182.0,2404.0
2015-05-30,02282,292.0,67.0,225.0
2015-05-31,02003,1516.0,469.0,1047.0
2015-05-31,02006,5739.0,3806.0,1933.0
2015-05-31,02282,513.0,135.0,378.0
2015-06-01,02003,2270.0,558.0,1712.0
2015-06-01,02006,7699.0,4780.0,2919.0
2015-06-01,02282,91.0,27.0,64.0
2015-06-02,02003,2257.0,547.0,1710.0
2015-06-02,02006,7472.0,4626.0,2846.0
2015-06-02,02282,111.0,39.0,72.0
2015-06-03,02003,2252.0,542.0,1710.0
2015-06-03,02006,7439.0,4642.0,2797.0
2015-06-03,02282,93.0,28.0,65.0
2015-06-04,02003,2290.0,569.0,1721.0
2015-06-04,02006,7456.0,4643.0,2813.0
2015-06-04,02282,89.0,28.0,61.0
2015-06-05,02003,2261.0,577.0,1684.0
2015-06-05,02006,7456.0,4820.0,2636.0
2015-06-05,02282,98.0,11.0,87.0
2015-06-06,02003,1435.0,391.0,1044.0
2015-06-06,02006,4861.0,3202.0,1659.0
2015-06-06,02282,251.0,64.0,187.0
2015-06-07,02003,1194.0,340.0,854.0
2015-06-07,02006,4666.0,3223.0,1443.0
2015-06-07,02282,231.0,64.0,167.0
2015-06-08,02003,2099.0,520.0,1579.0
2015-06-08,02006,7124.0,4519.0,2605.0
2015-06-08,02282,73.0,22.0,51.0
2015-06-09,02003,2098.0,533.0,1565.0
2015-06-09,02006,7003.0,4335.0,2668.0
2015-06-09,02282,109.0,34.0,75.0
2015-06-10,02003,2065.0,527.0,1538.0
2015-06-10,02006,6806.0,4300.0,2506.0
2015-06-10,02282,110.0,28.0,82.0
2015-06-11,02003,2088.0,552.0,1536.0
2015-06-11,02006,6940.0,4321.0,2619.0
2015-06-11,02282,60.0,20.0,40.0
2015-06-12,02003,2126.0,546.0,1580.0
2015-06-12,02006,7175.0,4631.0,2544.0
2015-06-12,02282,137.0,36.0,101.0
2015-06-13,02003,1481.0,404.0,1077.0
2015-06-13,02006,5462.0,3404.0,2058.0
2015-06-13,02282,181.0,58.0,123.0
2015-06-14,02003,1129.0,325.0,804.0
2015-06-14,02006,4392.0,2986.0,1406.0
2015-06-14,02282,209.0,60.0,149.0
2015-06-15,02003,2084.0,510.0,1574.0
2015-06-15,02006,7152.0,4514.0,2638.0
2015-06-15,02282,59.0,18.0,41.0
2015-06-16,02003,2159.0,533.0,1626.0
2015-06-16,02006,7131.0,4496.0,2635.0
2015-06-16,02282,88.0,18.0,70.0
2015-06-17,02003,1919.0,529.0,1390.0
2015-06-17,02006,6780.0,4272.0,2508.0
2015-06-17,02282,68.0,23.0,45.0
2015-06-18,02003,2093.0,545.0,1548.0
2015-06-18,02006,7026.0,4431.0,2595.0
2015-06-18,02282,98.0,24.0,74.0
2015-06-19,02003,2289.0,603.0,1686.0
2015-06-19,02006,7584.0,4803.0,2781.0
2015-06-19,02282,108.0,29.0,79.0
2015-06-20,02003,1260.0,338.0,922.0
2015-06-20,02006,4709.0,3036.0,1673.0
2015-06-20,02282,63.0,15.0,48.0
2015-06-21,02003,1322.0,410.0,912.0
2015-06-21,02006,5182.0,3443.0,1739.0
2015-06-21,02282,263.0,57.0,206.0
2015-06-22,02003,1965.0,530.0,1435.0
2015-06-22,02006,6990.0,4543.0,2447.0
2015-06-22,02282,128.0,25.0,103.0
2015-06-23,02003,1910.0,532.0,1378.0
2015-06-23,02006,6997.0,4472.0,2525.0
2015-06-23,02282,106.0,23.0,83.0
2015-06-24,02003,2063.0,572.0,1491.0
2015-06-24,02006,6965.0,4499.0,2466.0
2015-06-24,02282,111.0,18.0,93.0
2015-06-25,02003,2015.0,565.0,1450.0
2015-06-25,02006,6875.0,4431.0,2444.0
2015-06-25,02282,110.0,42.0,68.0
2015-06-26,02003,2071.0,616.0,1455.0
2015-06-26,02006,7280.0,4603.0,2677.0
2015-06-26,02282,114.0,24.0,90.0
2015-06-27,02003,1317.0,323.0,994.0
2015-06-27,02006,10617.0,5273.0,5344.0
2015-06-27,02282,422.0,125.0,297.0
2015-06-28,02003,1035.0,308.0,727.0
2015-06-28,02006,9019.0,4838.0,4181.0
2015-06-28,02282,209.0,68.0,141.0
2015-06-29,02003,1713.0,481.0,1232.0
2015-06-29,02006,12670.0,6088.0,6582.0
2015-06-29,02282,111.0,37.0,74.0
2015-06-30,02003,1628.0,433.0,1195.0
2015-06-30,02006,12199.0,5790.0,6409.0
2015-06-30,02282,83.0,30.0,53.0
2015-07-01,02003,1647.0,437.0,1210.0
2015-07-01,02006,12343.0,5964.0,6379.0
2015-07-01,02282,150.0,26.0,124.0
2015-07-02,02003,1687.0,455.0,1232.0
2015-07-02,02006,12692.0,6222.0,6470.0
2015-07-02,02282,198.0,30.0,168.0
2015-07-03,02003,1906.0,468.0,1438.0
2015-07-03,02006,13656.0,6645.0,7011.0
2015-07-03,02282,203.0,48.0,155.0
2015-07-04,02003,1299.0,306.0,993.0
2015-07-04,02006,10569.0,5417.0,5152.0
2015-07-04,02282,346.0,65.0,281.0
2015-07-05,02003,1071.0,334.0,737.0
2015-07-05,02006,9314.0,5090.0,4224.0
2015-07-05,02282,225.0,39.0,186.0
2015-07-06,02003,1811.0,485.0,1326.0
2015-07-06,02006,12556.0,6046.0,6510.0
2015-07-06,02282,117.0,21.0,96.0
2015-07-07,02003,1716.0,481.0,1235.0
2015-07-07,02006,12592.0,6021.0,6571.0
2015-07-07,02282,170.0,24.0,146.0
2015-07-08,02003,1720.0,443.0,1277.0
2015-07-08,02006,12672.0,6076.0,6596.0
2015-07-08,02282,153.0,21.0,132.0
2015-07-09,02003,1744.0,468.0,1276.0
2015-07-09,02006,12440.0,5947.0,6493.0
2015-07-09,02282,123.0,24.0,99.0
2015-07-10,02003,1866.0,540.0,1326.0
2015-07-10,02006,13759.0,6776.0,6983.0
2015-07-10,02282,148.0,32.0,116.0
2015-07-11,02003,1299.0,325.0,974.0
2015-07-11,02006,10280.0,5116.0,5164.0
2015-07-11,02282,275.0,78.0,197.0
2015-07-12,02003,834.0,239.0,595.0
2015-07-12,02006,7477.0,4243.0,3234.0
2015-07-12,02282,69.0,20.0,49.0
2015-07-13,02003,1675.0,452.0,1223.0
2015-07-13,02006,11856.0,5890.0,5966.0
2015-07-13,02282,71.0,14.0,57.0
2015-07-14,02003,1653.0,489.0,1164.0
